№ відділення /платіжного пристрою,Вірний варіант,,Варіанти
5911,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5881,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5706,"{city='Благовіщенськ', district='Благовіщенський', region='Кіровоградська'}", Ульянівка not unique,"   [{city='Ульянівка', district='Маловисківський', region='Кіровоградська'}, {city='Ульянівка', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5687,"{city='Шевченкове', district='Кіровоградський', region='Кіровоградська'}", Шевченкове not unique,"   [{city='Шевченкове', district='Кіровоградський', region='Кіровоградська'}, {city='Шевченкове', district='Маловисківський', region='Кіровоградська'}]""}]}"
5679,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5673,"{city='Рівне', district='Новоукраїнський', region='Кіровоградська'}", Рівне not unique,"   [{city='Рівне', district='Новомиргородський', region='Кіровоградська'}, {city='Рівне', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5670,"{city='Рівне', district='Новоукраїнський', region='Кіровоградська'}", Рівне not unique,"   [{city='Рівне', district='Новомиргородський', region='Кіровоградська'}, {city='Рівне', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5666,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5660,"{city='Рівне', district='Новоукраїнський', region='Кіровоградська'}", Рівне not unique,"   [{city='Рівне', district='Новомиргородський', region='Кіровоградська'}, {city='Рівне', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5654,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5653,"{city='Вільшанка', district='Вільшанський', region='Кіровоградська'}", Вільшанка not unique,"   [{city='Вільшанка', district='Вільшанський', region='Кіровоградська'}, {city='Вільшанка', district='Новоархангельський', region='Кіровоградська'}]""}]}"
5645,"{city='Вільшанка', district='Вільшанський', region='Кіровоградська'}", Вільшанка not unique,"   [{city='Вільшанка', district='Вільшанський', region='Кіровоградська'}, {city='Вільшанка', district='Новоархангельський', region='Кіровоградська'}]""}]}"
5638,"{city='Рівне', district='Новоукраїнський', region='Кіровоградська'}", Рівне not unique,"   [{city='Рівне', district='Новомиргородський', region='Кіровоградська'}, {city='Рівне', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5637,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5636,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5635,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5634,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5625,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5620,"{city='Благовіщенськ', district='Благовіщенський', region='Кіровоградська'}", Ульянівка not unique,"   [{city='Ульянівка', district='Маловисківський', region='Кіровоградська'}, {city='Ульянівка', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5615,"{city='Благовіщенськ', district='Благовіщенський', region='Кіровоградська'}", Ульянівка not unique,"   [{city='Ульянівка', district='Маловисківський', region='Кіровоградська'}, {city='Ульянівка', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5610,"{city='Благовіщенськ', district='Благовіщенський', region='Кіровоградська'}", Ульянівка not unique,"   [{city='Ульянівка', district='Маловисківський', region='Кіровоградська'}, {city='Ульянівка', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5588,"{city='Димитрове', district='Олександрійський', region='Кіровоградська'}", Димитрове not unique,"   [{city='Димитрове', district='Олександрійський', region='Кіровоградська'}, {city='Димитрове', district='Устинівський', region='Кіровоградська'}]""}]}"
5587,"{city='Димитрове', district='Олександрійський', region='Кіровоградська'}", Димитрове not unique,"   [{city='Димитрове', district='Олександрійський', region='Кіровоградська'}, {city='Димитрове', district='Устинівський', region='Кіровоградська'}]""}]}"
5578,"{city='Веселе', district='Олександрійський', region='Кіровоградська'}", Веселе not unique,"   [{city='Веселе', district='Маловисківський', region='Кіровоградська'}, {city='Веселе', district='Новгородківський', region='Кіровоградська'}, {city='Веселе', district='Олександрівський', region='Кіровоградська'}, {city='Веселе', district='Олександрійський', region='Кіровоградська'}]""}]}"
5560,"{city='Димитрове', district='Олександрійський', region='Кіровоградська'}", Димитрове not unique,"   [{city='Димитрове', district='Олександрійський', region='Кіровоградська'}, {city='Димитрове', district='Устинівський', region='Кіровоградська'}]""}]}"
5345,"{city='Володимирівка', district='Знам'янський', region='Кіровоградська'}", Володимирівка not unique,"   [{city='Володимирівка', district='Добровеличківський', region='Кіровоградська'}, {city='Володимирівка', district='Знам'янський', region='Кіровоградська'}, {city='Володимирівка', district='Кіровоградський', region='Кіровоградська'}, {city='Володимирівка', district='Компаніївський', region='Кіровоградська'}, {city='Володимирівка', district='Новоархангельський', region='Кіровоградська'}, {city='Володимирівка', district='Петрівський', region='Кіровоградська'}]""}]}"
5337,"{city='Михайлівка', district='Олександрівський', region='Кіровоградська'}", Михайлівка not unique,"   [{city='Михайлівка', district='Добровеличківський', region='Кіровоградська'}, {city='Михайлівка', district='Новоукраїнський', region='Кіровоградська'}, {city='Михайлівка', district='Олександрівський', region='Кіровоградська'}, {city='Михайлівка', district='Олександрійський', region='Кіровоградська'}]""}]}"
5316,"{city='Тишківка', district='Добровеличківський', region='Кіровоградська'}", Тишківка not unique,"   [{city='Тишківка', district='Добровеличківський', region='Кіровоградська'}, {city='Тишківка', district='Новомиргородський', region='Кіровоградська'}]""}]}"
5306,"{city='Володимирівка', district='Знам'янський', region='Кіровоградська'}", Володимирівка not unique,"   [{city='Володимирівка', district='Добровеличківський', region='Кіровоградська'}, {city='Володимирівка', district='Знам'янський', region='Кіровоградська'}, {city='Володимирівка', district='Кіровоградський', region='Кіровоградська'}, {city='Володимирівка', district='Компаніївський', region='Кіровоградська'}, {city='Володимирівка', district='Новоархангельський', region='Кіровоградська'}, {city='Володимирівка', district='Петрівський', region='Кіровоградська'}]""}]}"
5300,"{city='Володимирівка', district='Знам'янський', region='Кіровоградська'}", Володимирівка not unique,"   [{city='Володимирівка', district='Добровеличківський', region='Кіровоградська'}, {city='Володимирівка', district='Знам'янський', region='Кіровоградська'}, {city='Володимирівка', district='Кіровоградський', region='Кіровоградська'}, {city='Володимирівка', district='Компаніївський', region='Кіровоградська'}, {city='Володимирівка', district='Новоархангельський', region='Кіровоградська'}, {city='Володимирівка', district='Петрівський', region='Кіровоградська'}]""}]}"
5299,"{city='Володимирівка', district='Знам'янський', region='Кіровоградська'}", Володимирівка not unique,"   [{city='Володимирівка', district='Добровеличківський', region='Кіровоградська'}, {city='Володимирівка', district='Знам'янський', region='Кіровоградська'}, {city='Володимирівка', district='Кіровоградський', region='Кіровоградська'}, {city='Володимирівка', district='Компаніївський', region='Кіровоградська'}, {city='Володимирівка', district='Новоархангельський', region='Кіровоградська'}, {city='Володимирівка', district='Петрівський', region='Кіровоградська'}]""}]}"
5295,"{city='Тишківка', district='Добровеличківський', region='Кіровоградська'}", Тишківка not unique,"   [{city='Тишківка', district='Добровеличківський', region='Кіровоградська'}, {city='Тишківка', district='Новомиргородський', region='Кіровоградська'}]""}]}"
5292,"{city='Володимирівка', district='Знам'янський', region='Кіровоградська'}", Володимирівка not unique,"   [{city='Володимирівка', district='Добровеличківський', region='Кіровоградська'}, {city='Володимирівка', district='Знам'янський', region='Кіровоградська'}, {city='Володимирівка', district='Кіровоградський', region='Кіровоградська'}, {city='Володимирівка', district='Компаніївський', region='Кіровоградська'}, {city='Володимирівка', district='Новоархангельський', region='Кіровоградська'}, {city='Володимирівка', district='Петрівський', region='Кіровоградська'}]""}]}"
5283,"{city='Веселе', district='Олександрівський', region='Кіровоградська'}", Веселе not unique,"   [{city='Веселе', district='Маловисківський', region='Кіровоградська'}, {city='Веселе', district='Новгородківський', region='Кіровоградська'}, {city='Веселе', district='Олександрівський', region='Кіровоградська'}, {city='Веселе', district='Олександрійський', region='Кіровоградська'}]""}]}"
5264,"{city='Приют', district='Новоукраїнський', region='Кіровоградська'}", Приют not unique,"   [{city='Приют', district='Новоархангельський', region='Кіровоградська'}, {city='Приют', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5253," [{city='Лозуватка', district='П'ятихатський', region='Дніпропетровська'},", Лозуватка not unique,"   [{city='Лозуватка', district='П'ятихатський', region='Дніпропетровська'}, {city='Лозуватка', district='Синельниківський', region='Дніпропетровська'}]""}]}"
1426,"{city='Петриківка', district='Петриківський', region='Дніпропетровська'}", Петриківка not unique,"   [{city='Петриківка', district='Васильківський', region='Дніпропетровська'}, {city='Петриківка', district='Петриківський', region='Дніпропетровська'}, {city='Петриківка', district='Солонянський', region='Дніпропетровська'}]""}]}"
1425,"{city='Петриківка', district='Петриківський', region='Дніпропетровська'}", Петриківка not unique,"   [{city='Петриківка', district='Васильківський', region='Дніпропетровська'}, {city='Петриківка', district='Петриківський', region='Дніпропетровська'}, {city='Петриківка', district='Солонянський', region='Дніпропетровська'}]""}]}"
1303," [{city='Ленінське', district='Нововоронцовський', region='Херсонська'}", Ленінське not unique,"   [{city='Ленінське', district='Нововоронцовський', region='Херсонська'}, {city='Ленінське', district='Скадовський', region='Херсонська'}]""}]}"
1297,"{city='Кринички', district='Криничанський', region='Дніпропетровська'}", Кринички not unique,"   [{city='Кринички', district='Верхньодніпровський', region='Дніпропетровська'}, {city='Кринички', district='Криничанський', region='Дніпропетровська'}, {city='Кринички', district='Солонянський', region='Дніпропетровська'}]""}]}"
1247,"{city='Ленінське', district='Нововоронцовський', region='Херсонська'}", Ленінське not unique,"   [{city='Ленінське', district='Межівський', region='Дніпропетровська'}, {city='Ленінське', district='Солонянський', region='Дніпропетровська'}]""}]}"
1231,"{city='Ленінське', district='Межівський', region='Дніпропетровська'}", Ленінське not unique,"   [{city='Ленінське', district='Межівський', region='Дніпропетровська'}, {city='Ленінське', district='Солонянський', region='Дніпропетровська'}]""}]}"
1223,"{city='Ленінське', district='Нововоронцовський', region='Херсонська'}", Ленінське not unique,"   [{city='Ленінське', district='Нововоронцовський', region='Херсонська'}, {city='Ленінське', district='Скадовський', region='Херсонська'}]""}]}"
1220,"{city='Покровське', district='Нікопольський', region='Дніпропетровська'}", Вільне not unique,"   [{city='Вільне', district='Новомосковський', region='Дніпропетровська'}, {city='Вільне', district='П'ятихатський', region='Дніпропетровська'}, {city='Вільне', district='Покровський', region='Дніпропетровська'}, {city='Вільне', district='Синельниківський', region='Дніпропетровська'}, {city='Вільне', district='Томаківський', region='Дніпропетровська'}]""}]}"
1218,"{city='Покровське', district='Нікопольський', region='Дніпропетровська'}", Покровське not unique,"   [{city='Покровське', district='Нікопольський', region='Дніпропетровська'}, {city='Покровське', district='Покровський', region='Дніпропетровська'}]""}]}"
1217," [{city='Покровське', district='Нікопольський', region='Дніпропетровська'}", Покровське not unique,"   [{city='Покровське', district='Нікопольський', region='Дніпропетровська'}, {city='Покровське', district='Покровський', region='Дніпропетровська'}]""}]}"
1212,"[{city='Покровське', district='Нікопольський', region='Дніпропетровська'}", Покровське not unique,"   [{city='Покровське', district='Нікопольський', region='Дніпропетровська'}, {city='Покровське', district='Покровський', region='Дніпропетровська'}]""}]}"
1211,"[{city='Покровське', district='Нікопольський', region='Дніпропетровська'", Покровське not unique,"   [{city='Покровське', district='Нікопольський', region='Дніпропетровська'}, {city='Покровське', district='Покровський', region='Дніпропетровська'}]""}]}"
1207,"[{city='Покровське', district='Нікопольський', region='Дніпропетровська'}", Покровське not unique,"   [{city='Покровське', district='Нікопольський', region='Дніпропетровська'}, {city='Покровське', district='Покровський', region='Дніпропетровська'}]""}]}"
1202,"{city='Кринички', district='Криничанський', region='Дніпропетровська'}", Кринички not unique,"   [{city='Кринички', district='Верхньодніпровський', region='Дніпропетровська'}, {city='Кринички', district='Криничанський', region='Дніпропетровська'}, {city='Кринички', district='Солонянський', region='Дніпропетровська'}]""}]}"
1180,"{city='Ленінське', district='Межівський', region='Дніпропетровська'}", Ленінське not unique,"   [{city='Ленінське', district='Межівський', region='Дніпропетровська'}, {city='Ленінське', district='Солонянський', region='Дніпропетровська'}]""}]}"
1175,"{city='Ленінське', district='Межівський', region='Дніпропетровська'}", Ленінське not unique,"   [{city='Ленінське', district='Межівський', region='Дніпропетровська'}, {city='Ленінське', district='Солонянський', region='Дніпропетровська'}]""}]}"
1174,"{city='Ленінське', district='Межівський', region='Дніпропетровська'}", Ленінське not unique,"   [{city='Ленінське', district='Межівський', region='Дніпропетровська'}, {city='Ленінське', district='Солонянський', region='Дніпропетровська'}]""}]}"
1169,"{city='Ленінське', district='Межівський', region='Дніпропетровська'}", Ленінське not unique,"   [{city='Ленінське', district='Межівський', region='Дніпропетровська'}, {city='Ленінське', district='Солонянський', region='Дніпропетровська'}]""}]}"
1148,"{city='Ленінське', district='Межівський', region='Дніпропетровська'}", Ленінське not unique,"   [{city='Ленінське', district='Межівський', region='Дніпропетровська'}, {city='Ленінське', district='Солонянський', region='Дніпропетровська'}]""}]}"
1137,"{city='Ленінське', district='Межівський', region='Дніпропетровська'}", Ленінське not unique,"   [{city='Ленінське', district='Межівський', region='Дніпропетровська'}, {city='Ленінське', district='Солонянський', region='Дніпропетровська'}]""}]}"
759,"{city='Кринички', district='Криничанський', region='Дніпропетровська'}", Кринички not unique,"   [{city='Кринички', district='Верхньодніпровський', region='Дніпропетровська'}, {city='Кринички', district='Криничанський', region='Дніпропетровська'}, {city='Кринички', district='Солонянський', region='Дніпропетровська'}]""}]}"
669,"{city='Лозуватка', district='П'ятихатський', region='Дніпропетровська'}", Лозуватка not unique,"   [{city='Лозуватка', district='П'ятихатський', region='Дніпропетровська'}, {city='Лозуватка', district='Синельниківський', region='Дніпропетровська'}]""}]}"
421,"{city='Кринички', district='Криничанський', region='Дніпропетровська'}", Кринички not unique,"   [{city='Кринички', district='Верхньодніпровський', region='Дніпропетровська'}, {city='Кринички', district='Криничанський', region='Дніпропетровська'}, {city='Кринички', district='Солонянський', region='Дніпропетровська'}]""}]}"
280,"{city='Петрове', district='Петрівський', region='Кіровоградська'}]""}]}", Петрове not unique,"   [{city='Петрове', district='Знам'янський', region='Кіровоградська'}, {city='Петрове', district='Петрівський', region='Кіровоградська'}]""}]}"
262,"{city='Петрове', district='Петрівський', region='Кіровоградська'}]""}]}", Петрове not unique,"   [{city='Петрове', district='Знам'янський', region='Кіровоградська'}, {city='Петрове', district='Петрівський', region='Кіровоградська'}]""}]}"
180,"{city='Ленінське', district='Межівський', region='Дніпропетровська'}", Ленінське not unique,"   [{city='Ленінське', district='Межівський', region='Дніпропетровська'}, {city='Ленінське', district='Солонянський', region='Дніпропетровська'}]""}]}"
165," {city='Петрове', district='Петрівський', region='Кіровоградська'}]""}]}", Петрове not unique,"   [{city='Петрове', district='Знам'янський', region='Кіровоградська'}, {city='Петрове', district='Петрівський', region='Кіровоградська'}]""}]}"
164,"{city='Петрове', district='Петрівський', region='Кіровоградська'}]""}]}", Петрове not unique,"   [{city='Петрове', district='Знам'янський', region='Кіровоградська'}, {city='Петрове', district='Петрівський', region='Кіровоградська'}]""}]}"
143,"{city='Орджонікідзе', district='Орджонікідзе', region='Дніпропетровська'}]""}]}", Орджонікідзе not unique,"   [{city='Орджонікідзе', district='Дніпропетровський', region='Дніпропетровська'}, {city='Орджонікідзе', district='Нікопольський', region='Дніпропетровська'}, {city='Орджонікідзе', district='Орджонікідзе', region='Дніпропетровська'}]""}]}"
136,"{city='Лозуватка', district='П'ятихатський', region='Дніпропетровська'}", Лозуватка not unique,"   [{city='Лозуватка', district='П'ятихатський', region='Дніпропетровська'}, {city='Лозуватка', district='Синельниківський', region='Дніпропетровська'}]""}]}"
5262,"{city='Соколовка', district='Кіровоградський', region='Кіровоградська'}", Соколовка not found,
5280,"{city='Звірево', district='Новоукраїнський', region='Кіровоградська'}", Звірево  not found,
5284,"{city='Підлесне', district='Олександрівський', region='Кіровоградська'}", Підлесне not found,
5590,"{city='Новоархангельск', district='Новоархангельський', region='Кіровоградська'}", Новоархангельск not found,
5314,"{city='Новоукраїнка', district='Новоукраїнський', region='Кіровоградська'}", Новоукраинка not found,
5301,"{city='Знам'янка', district='Знам'янський', region='Кіровоградська'}", Сабліно not found,
5353,"{city='Надлак', district='Новоархангельський', region='Кіровоградська'}", Потоки not found,
1162,"Днепропетровская, с.Рудник , вул.Пляжная 51", Рудник  not found,
1232,"Днепропетровская, с.Рудник , вул.Ульянова 26", Рудник  not found,
399,"Дніпропетровська,Ингулец, Вул. Рудная вул. 8", Ингулец not found,
5417,"{city='Камінчане', district='Криничанський', region='Дніпропетровська'}", Камінчане  not found,
